Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1993","1993","1000 US$","18343","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1994","1994","1000 US$","15544","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1995","1995","1000 US$","34373","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1996","1996","1000 US$","19322","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1997","1997","1000 US$","16012","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1998","1998","1000 US$","12771","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1999","1999","1000 US$","44845","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2000","2000","1000 US$","33064","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2001","2001","1000 US$","14744","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2002","2002","1000 US$","10447","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2003","2003","1000 US$","11652","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2004","2004","1000 US$","12596","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2005","2005","1000 US$","14261","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2006","2006","1000 US$","25345","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2007","2007","1000 US$","22680","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2008","2008","1000 US$","17753","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2009","2009","1000 US$","16078","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2010","2010","1000 US$","17175","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2011","2011","1000 US$","24387","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2012","2012","1000 US$","26678","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2013","2013","1000 US$","26380","A","Official figure"
