Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","250.988485","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","285.76725","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","239.11873","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","226.245369","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","235.963798","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","295.016055","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","206.155961","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","221.973539","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","212.412433","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","177.439465","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","181.63491","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","169.025879","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","134.973427","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","158.069079","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","123.926025","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","133.802146","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","144.971949","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","539.577306","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","507.475623","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","819.84473","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","1083.901594","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","1335.160649","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","1682.585461","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","2043.494686","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","2534.023235","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","2731.836542","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","2575.523935","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","2512.500529","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","2433.865407","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","2067.081973","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","2309.382151","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","1786.96072","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","2041.946406","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","2248.855681","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","1086.106328","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","1133.774488","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","161.243473","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","279.554136","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","345.190158","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","297.27644","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
